ID,Name,Item Names,Is Mrp,Ambiguous
9931,Appe Platter - 4pc Veggie Appe2pc Butter Appe2pc Paneer Appe pc Pizza Appe,Appe Platter | Veggie Appe | Butter Appe | Paneer Appe | Pizza Appe,0,0
1076,---,INVALID RESPONSE LLM,0,0
716,2 Nos Chappathi / Phulka with Side Dish (150 gms),Chappathi | Side Dish,0,0
745,2 nos Idly with medhu vada,Idli | Medhu Vada,0,0
749,2 nos Paratha with kurma,Paratha | Kurma,0,0
717,3 Nos Chappathi / Phulka with Side Dish (200 gms),Chappathi | Side Dish,0,0
744,3 nos Idly with medhu vada,Idli | Medhu Vada,0,0
748,3 nos Paratha with kurma,Paratha | Kurma,0,0
3318,Aam Ka Panna,Aam Ka Panna,0,0
5781,Aam Sandesh,Aam Sandesh,0,0
8199,Aamras,Aamras,0,0
7010,Aappam,Aappam,0,0
7013,Adai Dosai,Adai Dosai,0,0
9037,Affogato,Affogato,0,0
6283,Afghani Chicken Biryani,Afghani Chicken Biryani,0,0
10174,Afghani Murgh Tikka,Afghani Murgh Tikka,0,0
7762,Aglio Oglio Pasta,Aglio Oglio Pasta,0,0
5868,Agra Bedmi Poori,Bedmi Poori,0,0
7560,Ajmer cake,Ajmer Cake,0,0
7087,Akki Roti,Akki Roti,0,0
7089,Alasande Vada,Alasande Vada,0,0
7121,Alfredo Pasta,Alfredo Pasta,0,0
4643,Allepy Chicken Curry,Allepy Chicken Curry,0,0
4313,Almond,Almond,0,0
8887,Aloo Baji,Aloo Bhaji,0,0
6906,Aloo Bhature,Aloo Bhature,0,0
6015,Aloo Biryani,Aloo Biryani,0,0
4217,Aloo Bonda,Aloo Bonda,0,0
7090,Aloo Bun,Aloo Bun,0,0
6235,Aloo Chaat,Aloo Chaat,0,0
7541,Aloo Chat,Aloo Chaat,0,0
10229,Aloo Chilli,Aloo Chilli,0,0
10230,Aloo Chop,Aloo Chop,0,0
10412,Aloo Gobi Paratha,Aloo Gobi Paratha,0,0
6065,Aloo Jeera,Aloo Jeera,0,0
10231,Aloo Manchurian,Aloo Manchurian,0,0
5327,Aloo Masala Cheese Sandwich,Aloo Masala Cheese Sandwich,0,0
5328,Aloo Masala Sandwich,Aloo Masala Sandwich,0,0
9041,Aloo Mattar,Aloo Mattar,0,0
10307,Aloo Methi paratha,Aloo Methi Paratha,0,0
5329,Aloo Mutter Curry,Aloo Mutter Curry,0,0
7092,Aloo Mutter Kulcha,Aloo Mutter Kulcha,0,0
6066,Aloo Mutter Masala,Aloo Mutter Masala,0,0
6068,Aloo Palak,Aloo Palak,0,0
4570,Aloo Paratha,Aloo Paratha,0,0
6604,Aloo Paratha - 1 No With Channa Masala - 60 Grm Curd,Aloo Paratha | Channa Masala | Curd,0,0
3535,Aloo Patty Salad,Aloo Patty Salad,0,0
7538,Aloo Puri,Aloo Puri,0,0
6752,Aloo Pyaz Paratha,Aloo Pyaz Paratha,0,0
7091,Aloo Sabzi,Aloo Sabzi,0,0
4322,Aloo Samosa,Aloo Samosa,0,0
4761,Aloo Sandwich,Aloo Sandwich,0,0
9042,Aloo Tamatar,Aloo Tamatar,0,0
4418,Aloo Tikki Chaat,Aloo Tikki Chaat,0,0
3572,Aloo Tikki Chana,Chana Aloo Tikki,0,0
7093,Aloo Tikki Cheese,Cheese Aloo Tikki,0,0
3561,Aloo Tikki Ragda Chaat,Aloo Tikki Ragda Chaat,0,0
7094,Aloo Tikki Sandwich,Aloo Tikki Sandwich,0,0
6062,Aloo bhindi,Aloo Bhindi,0,0
6064,Aloo gobi,Aloo Gobi,0,0
8063,Ambuli Juice,Ambuli Juice,0,0
4451,Ambur Chicken Biryani,Ambur Chicken Biryani,0,0
7095,Ambur Egg Biryani,Ambur Egg Biryani,0,0
5331,Ambur Mutton Biryani,Ambur Mutton Biryani,0,0
4450,Ambur Veg Biryani,Ambur Veg Biryani,0,0
4088,Americano,Americano,0,0
6281,Amma's Special Fish Poth Chori,Fish Poth Chori,0,0
5787,Amriti,Amriti,0,0
7096,Amritsar Chicken,Amritsar Chicken,0,0
9920,Amul Butter Paneer Appe- Half,Butter Paneer Appe,0,0
9929,Amul Butter Paneer Appe-Full,Butter Paneer Appe,0,0
8753,Anchovy Fish Fry,Anchovy Fish Fry,0,0
6553,Andhara Kara Dosa,Andhra Kara Dosa,0,0
5332,Andhra Chilli Chicken,Andhra Chilli Chicken,0,0
4745,Andhra Kara Dosa,Andhra Kara Dosa,0,0
7549,Andhra Special Chicken Biryani,Andhra Special Chicken Biryani,0,0
7550,Andhra Special Veg Biryani,Andhra Special Veg Biryani,0,0
5722,Andhra Veg Biryani - 450 Gms,Andhra Veg Biryani,0,0
10232,Anjeer Peda,Anjeer Peda,0,0
3275,Anjeer milk shake,Anjeer Milk Shake,0,0
6391,Appalam,Appalam,0,0
6959,Appam,Appam,0,0
6368,Appam Veg Stew,Appam | Veg Stew,0,0
7099,Appam With Chicken Curry,Appam | Chicken Curry,0,0
7100,Appam With Kadala Curry,Appam | Kadala Curry,0,0
7101,Appam With Veg Stew,Appam | Veg Stew,0,0
4615,Appam with Chicken Stew,Appam | Chicken Stew,0,0
4444,Appam with Egg Masala,Appam | Egg Masala,0,0
4614,Appam with Egg Roast,Appam | Egg Roast,0,0
8035,Appam with Fish Curry,Appam | Fish Curry,0,0
4613,Appam with Veg Curry,Appam | Veg Curry,0,0
9916,Appe Lollypop- Half,Appe Lollypop,0,0
9923,Appe Lollypop-Full,Appe Lollypop,0,0
9921,Appe Pizza- Half,Appe Pizza,0,0
9930,Appe Pizza-Full,Appe Pizza,0,0
10234,Apple Cinnamon Tart,Apple Cinnamon Tart,0,0
3261,Apple Fruit Shake,Apple Fruit Shake,0,0
3302,Apple Juice,Apple Juice,0,0
8872,Apple Milk Shake,Apple Milk Shake,0,0
10236,Apple Muffin (Eggless),Apple Muffin,0,0
